iter	Passed	Remaining
0	162	162784
1	164	82208
2	166	55242
3	170	42389
4	172	34338
5	174	28837
6	175	24925
7	177	21962
8	178	19634
9	179	17771
10	180	16242
11	182	15020
12	184	13970
13	185	13049
14	186	12221
15	186	11494
16	187	10854
17	188	10285
18	189	9774
19	190	9311
20	190	8891
21	191	8505
22	191	8153
23	192	7833
24	193	7542
25	193	7267
26	194	7011
27	195	6788
28	196	6584
29	197	6389
30	198	6201
31	199	6023
32	200	5873
33	201	5715
34	203	5603
35	204	5469
36	204	5334
37	205	5206
38	206	5085
39	207	4970
40	207	4858
41	208	4754
42	209	4654
43	211	4594
44	213	4524
45	213	4437
46	215	4362
47	215	4283
48	216	4206
49	217	4131
50	218	4056
51	218	3989
52	219	3922
53	220	3858
54	220	3797
55	221	3736
56	222	3678
57	222	3621
58	223	3566
59	225	3537
60	227	3495
61	227	3447
62	228	3400
63	229	3354
64	229	3307
65	230	3265
66	231	3223
67	232	3182
68	232	3141
69	233	3101
70	234	3063
71	234	3025
72	235	2989
73	236	2953
74	236	2919
75	237	2885
76	238	2852
77	238	2819
78	241	2817
79	243	2794
80	244	2777
81	245	2750
82	246	2718
83	246	2691
84	247	2665
85	248	2640
86	249	2615
87	249	2589
88	250	2564
89	251	2540
90	251	2516
91	252	2493
92	253	2471
93	255	2466
94	257	2453
95	259	2441
96	260	2420
97	260	2400
98	261	2379
99	262	2359
100	262	2339
101	263	2319
102	264	2301
103	265	2283
104	265	2265
105	266	2248
106	267	2231
107	268	2214
108	268	2197
109	272	2203
110	273	2193
111	274	2178
112	275	2162
113	276	2147
114	277	2131
115	277	2117
116	278	2101
117	279	2086
118	280	2073
119	280	2060
120	281	2046
121	282	2031
122	282	2017
123	283	2003
124	284	1994
125	286	1988
126	287	1978
127	288	1966
128	289	1954
129	290	1943
130	291	1932
131	291	1919
132	292	1908
133	293	1896
134	294	1884
135	294	1872
136	295	1859
137	295	1847
138	296	1836
139	297	1825
140	297	1814
141	298	1802
142	300	1801
143	301	1794
144	302	1784
145	303	1775
146	304	1766
147	304	1755
148	305	1745
149	306	1735
150	306	1725
151	307	1715
152	308	1706
153	308	1697
154	309	1687
155	310	1679
156	311	1670
157	311	1662
158	312	1653
159	313	1644
160	313	1634
161	315	1631
162	316	1626
163	317	1617
164	318	1611
165	319	1603
166	319	1594
167	320	1586
168	320	1578
169	321	1571
170	322	1565
171	323	1557
172	324	1549
173	324	1541
174	325	1534
175	326	1527
176	326	1519
177	327	1512
178	328	1505
179	328	1498
180	331	1499
181	331	1491
182	332	1484
183	333	1477
184	333	1470
185	334	1464
186	335	1459
187	336	1452
188	337	1446
189	337	1439
190	338	1433
191	338	1426
192	339	1419
193	340	1412
194	340	1406
195	341	1402
196	342	1395
197	343	1389
198	343	1383
199	346	1385
200	347	1380
201	347	1374
202	349	1370
203	349	1364
204	350	1359
205	351	1353
206	351	1348
207	352	1342
208	353	1336
209	353	1331
210	354	1325
211	355	1319
212	355	1314
213	356	1309
214	357	1304
215	357	1298
216	358	1293
217	359	1288
218	360	1285
219	361	1280
220	361	1275
221	362	1271
222	363	1267
223	365	1265
224	366	1261
225	367	1257
226	368	1253
227	368	1248
228	369	1245
229	370	1241
230	371	1237
231	374	1240
232	375	1236
233	376	1232
234	377	1229
235	378	1226
236	379	1222
237	380	1218
238	381	1213
239	382	1209
240	382	1205
241	383	1201
242	384	1197
243	385	1193
244	385	1189
245	386	1185
246	387	1180
247	389	1182
248	390	1178
249	391	1174
250	392	1169
251	392	1165
252	393	1161
253	394	1157
254	394	1153
255	395	1148
256	395	1144
257	396	1140
258	397	1136
259	397	1132
260	398	1128
261	399	1124
262	400	1121
263	400	1117
264	401	1113
265	402	1109
266	402	1105
267	406	1109
268	406	1105
269	407	1102
270	408	1098
271	408	1094
272	409	1090
273	410	1086
274	410	1082
275	411	1078
276	411	1075
277	412	1071
278	413	1068
279	414	1065
280	414	1061
281	415	1058
282	416	1054
283	417	1051
284	417	1048
285	421	1052
286	422	1049
287	423	1045
288	424	1043
289	424	1039
290	425	1036
291	426	1033
292	427	1030
293	427	1026
294	428	1023
295	428	1019
296	429	1016
297	430	1014
298	431	1011
299	432	1008
300	433	1005
301	436	1008
